Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.81,-0.4,-0.46,-0.64,-0.34,-0.47,-0.46,0.08,-0.49,-0.66,-0.5,-0.52,-0.47,***,***,-0.48,-0.28,-0.55
1881,-0.77,-0.61,-0.35,-0.25,-0.01,-1.1,-0.53,-0.25,-0.36,-0.49,-0.56,-0.15,-0.45,-0.48,-0.63,-0.2,-0.63,-0.47
1882,0.11,-0.12,-0.09,-0.59,-0.38,-1.02,-0.71,-0.12,-0.08,-0.32,-0.4,-0.68,-0.37,-0.32,-0.05,-0.35,-0.62,-0.26
1883,-0.68,-0.95,-0.46,-0.31,-0.35,0.45,-0.01,-0.16,-0.45,-0.57,-0.69,-0.39,-0.38,-0.4,-0.77,-0.37,0.09,-0.57
1884,-0.6,-0.34,-0.4,-0.93,-1.19,-0.82,-0.85,0.15,-0.37,-0.77,-0.82,-0.99,-0.66,-0.61,-0.45,-0.84,-0.51,-0.65
1885,-0.92,-0.78,-0.91,-0.87,-0.49,-0.93,-0.62,-0.16,-0.15,-0.04,-0.38,0.01,-0.52,-0.6,-0.9,-0.76,-0.57,-0.19
1886,-0.77,-0.83,-0.69,-0.63,-0.56,-0.83,-0.4,-0.74,-0.43,-0.87,-0.51,-0.75,-0.67,-0.6,-0.53,-0.63,-0.66,-0.6
1887,-0.9,-1.3,-0.62,-0.87,-0.89,-0.7,-0.44,-0.29,-0.65,-0.59,-0.95,-0.69,-0.74,-0.75,-0.98,-0.79,-0.48,-0.73
1888,-0.77,-0.86,-0.95,-0.35,-0.8,-0.6,-0.4,-0.39,-0.46,-0.32,-0.1,-0.22,-0.52,-0.56,-0.77,-0.7,-0.46,-0.29
1889,-0.34,0.12,0.02,0.07,0.06,-0.35,-0.45,-0.64,-0.41,-0.26,-0.48,-0.49,-0.26,-0.24,-0.15,0.05,-0.48,-0.38
