Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.98,-0.79,-0.77,-0.89,-0.34,-0.35,-0.2,-0.31,-0.48,-0.52,-0.86,-1.09,-0.63,***,***,-0.67,-0.29,-0.62
1881,-0.64,-0.76,-0.37,-0.28,-0.26,-0.81,-0.37,-0.14,-0.29,-0.65,-0.62,-0.58,-0.48,-0.52,-0.83,-0.3,-0.44,-0.52
1882,0.22,0.16,-0.15,-0.65,-0.6,-0.54,-0.5,-0.19,-0.36,-0.83,-0.92,-1.11,-0.46,-0.41,-0.07,-0.47,-0.41,-0.71
1883,-1.13,-1.24,-0.59,-0.57,-0.61,-0.28,-0.21,-0.44,-0.5,-0.47,-0.86,-0.73,-0.63,-0.67,-1.16,-0.59,-0.31,-0.61
1884,-0.79,-0.7,-1.24,-1.16,-0.86,-0.86,-0.63,-0.74,-0.78,-0.73,-0.89,-0.78,-0.85,-0.84,-0.74,-1.09,-0.75,-0.8
1885,-1.73,-0.59,-0.57,-0.79,-0.85,-0.63,-0.35,-0.54,-0.5,-0.76,-0.6,-0.1,-0.67,-0.72,-1.03,-0.74,-0.51,-0.62
1886,-1.48,-1.28,-1,-0.51,-0.51,-0.58,-0.07,-0.42,-0.36,-0.48,-0.77,-0.34,-0.65,-0.63,-0.95,-0.68,-0.35,-0.53
1887,-1.69,-1.15,-0.68,-0.79,-0.33,-0.32,-0.13,-0.66,-0.31,-0.67,-0.53,-0.97,-0.69,-0.63,-1.06,-0.6,-0.37,-0.51
1888,-1.28,-1.31,-1.2,-0.6,-0.62,-0.48,-0.24,-0.44,-0.41,-0.37,-0.36,-0.77,-0.67,-0.69,-1.19,-0.81,-0.39,-0.38
1889,-0.97,-0.02,-0.13,0.22,0,-0.13,-0.18,-0.27,-0.43,-0.62,-0.99,-0.82,-0.36,-0.36,-0.59,0.03,-0.2,-0.68
1890,-0.97,-0.71,-0.74,-0.55,-0.76,-0.33,-0.22,-0.32,-0.24,-0.1,-0.93,-0.67,-0.55,-0.56,-0.83,-0.69,-0.29,-0.43
1891,-0.99,-1.28,-0.39,-0.63,-0.49,-0.35,-0.28,-0.23,-0.14,-0.56,-1.04,0,-0.53,-0.59,-0.98,-0.5,-0.29,-0.58
1892,-0.9,-0.4,-1.02,-0.84,-0.53,-0.04,-0.37,-0.35,-0.13,-0.2,-1.09,-0.95,-0.57,-0.49,-0.43,-0.8,-0.26,-0.47
1893,-2.41,-1.44,-0.38,-0.38,-0.59,-0.21,-0.05,-0.21,-0.21,-0.1,-0.27,-0.82,-0.59,-0.6,-1.6,-0.45,-0.16,-0.19
1894,-1.21,-0.74,-0.11,-0.69,-0.47,-0.39,-0.09,-0.14,-0.32,-0.35,-0.78,-0.48,-0.48,-0.51,-0.92,-0.42,-0.21,-0.48
1895,-1.29,-1.39,-0.61,-0.3,-0.31,-0.26,-0.2,-0.27,0.06,-0.27,-0.16,-0.46,-0.45,-0.46,-1.05,-0.41,-0.24,-0.12
1896,-0.74,-0.5,-0.98,-0.95,-0.41,0.1,0.02,-0.25,-0.13,0,-0.65,-0.64,-0.43,-0.41,-0.57,-0.78,-0.05,-0.26
1897,-0.62,-0.58,-0.73,-0.2,0.07,-0.14,0.01,-0.04,-0.14,-0.24,-0.32,-0.37,-0.27,-0.3,-0.61,-0.28,-0.06,-0.23
1898,0,-0.63,-1.04,-0.31,-0.46,-0.11,-0.14,0.02,-0.1,-0.4,-0.65,-0.35,-0.35,-0.35,-0.33,-0.6,-0.08,-0.38
1899,-0.17,-0.94,-0.59,-0.13,-0.25,-0.31,-0.06,0.02,0.02,0.1,0.52,-0.71,-0.21,-0.18,-0.48,-0.32,-0.12,0.21
1900,-0.92,-0.17,0.15,-0.27,-0.07,-0.14,-0.19,-0.01,-0.05,0.23,-0.21,-0.04,-0.14,-0.2,-0.6,-0.06,-0.11,-0.01
1901,-0.6,-0.06,0.38,0.22,-0.19,0.07,0.15,-0.05,-0.15,-0.23,-0.3,-0.47,-0.1,-0.07,-0.23,0.14,0.06,-0.23
