Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.56,-0.01,-0.34,-0.53,-0.34,-0.62,-0.74,0.38,-0.47,-1,-0.24,-0.04,-0.38,***,***,-0.4,-0.33,-0.57
1881,-1.05,-0.52,-0.37,-0.26,-0.01,-1.47,-0.64,-0.25,-0.45,-0.47,-0.67,0.19,-0.5,-0.52,-0.53,-0.22,-0.79,-0.53
1882,0.03,-0.39,-0.18,-0.73,-0.32,-1.39,-0.87,-0.08,0.12,0.07,-0.09,-0.61,-0.37,-0.3,-0.06,-0.41,-0.78,0.04
1883,-0.65,-0.91,-0.5,-0.18,-0.1,1,0.14,0.16,-0.31,-0.74,-0.66,0.08,-0.22,-0.28,-0.72,-0.26,0.44,-0.57
1884,-0.5,-0.16,0.15,-0.83,-1.59,-0.89,-1.02,1.01,-0.06,-0.83,-0.63,-1.22,-0.55,-0.44,-0.19,-0.76,-0.3,-0.51
1885,-0.56,-0.99,-1.18,-1.04,-0.36,-1.22,-0.92,0,-0.02,0.47,-0.21,0.06,-0.5,-0.6,-0.92,-0.86,-0.71,0.08
1886,-0.29,-0.61,-0.5,-0.66,-0.61,-1.05,-0.66,-0.96,-0.4,-1.36,-0.2,-0.95,-0.69,-0.6,-0.28,-0.59,-0.89,-0.65
1887,-0.28,-1.46,-0.53,-0.88,-1.41,-0.94,-0.7,0.05,-1.02,-0.52,-1.31,-0.4,-0.78,-0.83,-0.9,-0.94,-0.53,-0.95
1888,-0.29,-0.59,-0.88,-0.25,-1.08,-0.79,-0.52,-0.38,-0.56,-0.38,0.07,0.12,-0.46,-0.5,-0.43,-0.74,-0.56,-0.29
1889,0.02,0.19,-0.03,-0.17,-0.03,-0.54,-0.76,-1.04,-0.42,-0.03,-0.1,-0.25,-0.26,-0.23,0.11,-0.08,-0.78,-0.19
1890,-0.58,-0.83,-0.63,-0.59,-1.18,-0.82,-1.04,-0.92,-0.53,-0.47,-0.75,-0.56,-0.74,-0.71,-0.55,-0.8,-0.92,-0.58
1891,-1.12,-1.17,-0.76,-0.92,-0.62,-0.96,-1.33,-1.04,-0.99,-0.79,-0.45,-0.1,-0.85,-0.89,-0.95,-0.77,-1.11,-0.74
1892,-0.63,-0.42,-0.44,-0.78,-0.97,-1.05,-0.52,-0.2,-0.89,-0.57,-0.47,-0.49,-0.62,-0.59,-0.38,-0.73,-0.59,-0.64
1893,-1.01,-0.9,-0.81,-1,-0.95,-1.2,-0.34,-0.65,-0.47,-0.15,-0.21,-0.19,-0.66,-0.68,-0.8,-0.92,-0.73,-0.28
1894,-0.82,-0.7,-0.69,-0.76,-1.02,-0.81,-0.76,-0.57,-0.67,-0.05,0.19,-0.09,-0.56,-0.57,-0.57,-0.82,-0.71,-0.17
1895,-0.4,-0.53,-0.54,-0.65,-0.35,-0.5,-0.93,-0.27,-0.47,-0.09,-0.32,0.11,-0.41,-0.43,-0.34,-0.51,-0.57,-0.29
1896,-0.04,-0.31,-0.39,-0.33,-0.65,-1.11,-0.66,-0.72,-0.29,-0.19,-0.58,-0.05,-0.44,-0.43,-0.08,-0.46,-0.83,-0.35
1897,-0.18,-0.63,-0.21,-0.19,-0.68,-0.31,-0.3,-0.63,-0.29,-0.37,0.14,-0.25,-0.33,-0.31,-0.29,-0.36,-0.41,-0.17
1898,-0.28,-0.47,-0.79,-0.92,-0.98,-0.61,-0.67,-0.56,-0.09,-0.55,-0.49,-0.23,-0.55,-0.55,-0.33,-0.9,-0.61,-0.38
1899,-0.71,-0.54,-0.44,-0.49,-0.76,-0.9,-0.74,-0.78,-0.25,-0.74,-0.51,-0.06,-0.58,-0.59,-0.49,-0.56,-0.81,-0.5
1900,-0.43,-0.06,-0.56,-0.22,-0.32,-0.18,-0.6,-0.37,-0.19,0.04,-0.13,-0.17,-0.27,-0.26,-0.18,-0.37,-0.38,-0.09
1901,0.01,-0.24,-0.55,-0.44,-0.29,-0.12,-0.71,-0.48,0.03,-0.25,-0.06,-0.13,-0.27,-0.27,-0.14,-0.43,-0.44,-0.09
1902,-0.47,-0.25,-0.14,-0.03,-0.26,-0.37,-0.56,-0.85,-0.55,-0.59,-0.46,-0.41,-0.41,-0.39,-0.28,-0.14,-0.59,-0.54
1903,-0.42,-0.53,-0.41,-0.65,-0.42,-0.78,-0.35,-0.45,-0.63,-0.69,-0.63,-0.67,-0.55,-0.53,-0.45,-0.49,-0.53,-0.65
1904,-0.71,-0.94,-0.84,-0.47,-0.86,-0.65,-0.79,-0.72,-0.54,-0.81,-0.46,-0.58,-0.7,-0.7,-0.77,-0.72,-0.72,-0.6
1905,-0.49,-0.84,-0.38,-0.28,-0.46,-0.4,-0.74,-0.37,-0.35,-0.45,-0.3,-0.25,-0.44,-0.47,-0.64,-0.37,-0.5,-0.37
1906,0.19,0,-0.42,-0.05,-0.33,-0.52,-0.35,-0.43,-0.64,-0.46,-0.67,-0.63,-0.36,-0.33,-0.02,-0.27,-0.43,-0.59
1907,-0.5,-0.38,-0.53,-0.51,-0.51,-0.73,-0.54,-0.76,-0.59,-0.57,-0.61,-0.78,-0.58,-0.57,-0.5,-0.52,-0.68,-0.59
1908,-0.36,-0.49,-0.48,-0.64,-0.48,-0.77,-0.64,-0.41,-0.26,-0.55,-0.55,-0.4,-0.5,-0.53,-0.54,-0.53,-0.61,-0.45
1909,-0.7,-0.76,-0.49,-0.69,-0.75,-0.53,-0.48,-0.17,-0.31,-0.28,-0.48,-0.51,-0.51,-0.5,-0.62,-0.64,-0.4,-0.36
1910,-0.5,-0.44,-0.66,-0.47,-0.3,-0.44,-0.32,-0.11,-0.01,-0.58,-0.6,-0.48,-0.41,-0.41,-0.48,-0.48,-0.29,-0.4
1911,-0.56,-0.64,-0.62,-0.68,-0.48,-0.68,-0.31,-0.4,-0.44,-0.31,-0.2,-0.25,-0.46,-0.48,-0.56,-0.59,-0.46,-0.32
1912,0.05,-0.2,-0.31,-0.36,-0.36,-0.4,-0.44,-0.44,-0.09,-0.12,-0.36,-0.2,-0.27,-0.27,-0.13,-0.34,-0.43,-0.19
1913,-0.4,-0.41,-0.66,-0.27,-0.64,-0.75,-0.03,-0.1,-0.13,-0.23,-0.22,-0.06,-0.33,-0.34,-0.34,-0.53,-0.29,-0.19
1914,-0.07,-0.06,0.05,-0.02,0.06,-0.05,-0.26,-0.11,-0.03,0.06,-0.46,-0.22,-0.09,-0.08,-0.06,0.03,-0.14,-0.14
1915,-0.24,0.09,0,-0.19,-0.47,-0.54,-0.04,-0.42,-0.03,-0.09,-0.05,-0.22,-0.18,-0.18,-0.12,-0.22,-0.33,-0.06
1916,-0.33,-0.21,-0.42,-0.35,-0.51,-0.7,-0.61,-0.14,-0.06,-0.16,-0.55,-0.52,-0.38,-0.35,-0.25,-0.43,-0.48,-0.26
1917,-0.51,-0.79,-0.85,-0.56,-0.76,-0.6,0.12,-0.54,-0.46,-0.44,-0.38,-0.54,-0.53,-0.53,-0.6,-0.72,-0.34,-0.43
1918,-0.52,-0.8,-0.81,-0.41,-0.97,-0.47,-0.73,-0.65,-0.25,-0.14,-0.2,-0.17,-0.51,-0.54,-0.62,-0.73,-0.62,-0.2
