Lake,Depth,Temp
Echoing,0.5,19.29999924
Echoing,1,19.29999924
Echoing,2,19.29999924
Echoing,3,19.29999924
Echoing,4,19.20000076
Echoing,5,19.20000076
Echoing,6,19
Echoing,7,18.89999962
Echoing,8,17.70000076
Echoing,9,17.39999962
Echoing,10,16.70000076
Echoing,11,15.89999962
Echoing,12,15.19999981
Echoing,13,14.19999981
Echoing,14,14
Echoing,15,13.60000038
Echoing,16,13.19999981
Echoing,17,13.10000038
Echoing,18,12.30000019
Echoing,19,12
Echoing,20,11.80000019
Echoing,21,11.39999962
Echoing,22,11
Echoing,23,10.39999962
Echoing,24,9.899999619
Echoing,25,9.800000191
Echoing,26,9.699999809
Echoing,27,9.600000381
Echoing,28,9.600000381
Echoing,29,9.600000381
